Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
8/2/2022,134.16,115.06,119.95,129.08,0.8,75.78,-0.009,61922400
8/3/2022,139.52,115.7,120.72,129,0.8,77.01,0.04,71827800
8/4/2022,142.57,116.4,121.58,128.97,0.8,78.3,0.022,70585000
8/5/2022,140.8,117.13,122.33,128.96,0.8,73.42,-0.012,50686900
8/8/2022,139.41,117.78,123,128.88,0.82,68.46,-0.01,52229000
8/9/2022,137.83,118.32,123.58,128.73,0.81,64.74,-0.011,40434700
8/10/2022,142.69,118.87,124.33,128.58,0.82,71.37,0.035,54773800
8/11/2022,140.64,119.28,124.97,128.38,0.8,70.23,-0.014,44867300
8/12/2022,143.55,119.72,125.7,128.2,0.8,82.09,0.021,47643500
8/15/2022,143.18,120.07,126.38,127.98,0.83,78.48,-0.003,39014600
8/16/2022,144.78,120.52,127.11,127.8,0.85,78.64,0.011,59102900
8/17/2022,142.1,120.86,127.69,127.58,0.84,62.21,-0.019,48149800
8/18/2022,142.3,121.25,128.27,127.36,0.84,61.89,0.001,37458700
8/19/2022,138.23,121.59,128.66,127.05,0.85,56.38,-0.029,47792800
8/22/2022,133.22,121.93,128.84,126.69,0.86,40.01,-0.036,50461500
8/23/2022,133.62,122.41,129.02,126.36,0.87,34.51,0.003,36252100
8/24/2022,133.8,123.01,129.21,126.07,0.85,37.18,0.001,38627000
8/25/2022,137.28,123.71,129.53,125.8,0.87,46.38,0.026,37496300
8/26/2022,130.75,124.17,129.58,125.43,0.88,39.69,-0.048,53322700
8/29/2022,129.79,124.7,129.58,125.09,0.88,28.81,-0.007,48101600
8/30/2022,128.73,125.15,129.55,124.79,0.88,29.78,-0.008,49203000
8/31/2022,126.77,125.51,129.44,124.48,0.89,20.56,-0.015,53648700
9/1/2022,127.82,125.89,129.38,124.21,0.84,23.68,0.008,56636100
9/2/2022,127.51,126.19,129.3,123.97,0.84,19.04,-0.002,57429800
9/6/2022,126.11,126.38,129.18,123.73,0.85,19.95,-0.011,43888600
9/7/2022,129.48,126.71,129.19,123.47,0.85,28.48,0.027,47900300
9/8/2022,129.82,127.15,129.22,123.25,0.85,33.86,0.003,43988500
9/9/2022,133.27,127.64,129.37,123.05,0.85,50.1,0.027,49387600
9/12/2022,136.45,128.25,129.65,122.84,0.84,55.19,0.024,53826900
9/13/2022,126.82,128.59,129.54,122.56,0.83,40.5,-0.071,72694000
9/14/2022,128.55,128.89,129.5,122.37,0.81,37.52,0.014,45316800
9/15/2022,126.28,129.13,129.38,122.19,0.81,42.72,-0.018,52887200
9/16/2022,123.53,129.28,129.15,121.96,0.8,40.37,-0.022,115667800
9/19/2022,124.66,129.46,128.97,121.81,0.8,43.75,0.009,47279700
9/20/2022,122.19,129.67,128.7,121.65,0.81,43.08,-0.02,47698400
9/21/2022,118.54,129.85,128.31,121.39,0.8,37,-0.03,58498900
9/22/2022,117.31,129.99,127.87,121.32,0.83,36.07,-0.01,55229200
9/23/2022,113.78,130.05,127.32,121.22,0.82,34.08,-0.03,65126700
9/26/2022,115.15,130.09,126.84,121.12,0.82,30.49,0.012,62723300
9/27/2022,114.41,130.1,126.36,121.01,0.84,29.25,-0.006,60094700
9/28/2022,118.01,130.1,126.03,121.03,0.84,29.53,0.031,55763800
9/29/2022,114.8,129.94,125.59,121.03,0.84,20.99,-0.027,58969700
9/30/2022,113,129.7,125.1,121.07,0.83,26.56,-0.016,59479600
10/3/2022,115.88,129.57,124.73,121.14,0.84,29.32,0.025,50941900
10/4/2022,121.09,129.57,124.59,121.29,0.83,42.27,0.045,62812600
10/5/2022,120.95,129.69,124.45,121.44,0.82,45.83,-0.001,48217500
10/6/2022,120.3,129.68,124.29,121.51,0.81,42.85,-0.005,42253800
10/7/2022,114.56,129.53,123.9,121.55,0.81,38.7,-0.048,54678000
10/10/2022,113.67,129.1,123.5,121.53,0.85,42.14,-0.008,42339700
10/11/2022,112.21,128.64,123.06,121.58,0.83,41.83,-0.013,56432200
