Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
6/15/2021,169.16,164.99,163.23,161.77,0.84,67.96,0,48524000,162.39,161.892762
6/16/2021,170.76,165.18,163.53,161.83,0.83,78.43,0.009,84056000,162.7,162.0542096
6/17/2021,174.46,165.39,163.95,161.93,0.83,83.91,0.022,102730000,163.12,162.2673677
6/18/2021,174.35,165.57,164.36,162.01,0.84,84.35,-0.001,104954000,163.52,162.5178941
6/21/2021,172.7,165.66,164.69,162.12,0.84,76.96,-0.009,65542000,163.85,162.7843153
6/22/2021,175.27,165.78,165.1,162.26,0.84,88.59,0.015,66902000,164.26,163.0794522
6/23/2021,175.19,165.89,165.5,162.41,0.86,87.68,0,56266000,164.64,163.3915618
6/24/2021,172.45,166,165.77,162.46,0.87,78.44,-0.016,76640000,164.9,163.6932494
6/25/2021,170.07,166.02,165.94,162.47,0.87,66.24,-0.014,78820000,165.07,163.9685995
6/28/2021,172.19,166.07,166.19,162.54,0.86,68.15,0.012,44856000,165.33,164.2408796
6/29/2021,172.41,166.15,166.43,162.59,0.87,62.82,0.001,41968000,165.56,164.5047037
6/30/2021,172.01,166.25,166.65,162.64,0.94,61.99,-0.002,48080000,165.71,164.745763
7/1/2021,171.65,166.32,166.84,162.69,0.92,56.83,-0.002,40742000,165.92,164.9806104
7/2/2021,175.55,166.52,167.19,162.8,0.93,64.64,0.023,63388000,166.26,165.2364883
7/6/2021,183.79,166.86,167.84,162.99,0.93,72.88,0.047,134896000,166.91,165.5711906
7/7/2021,184.83,167.15,168.5,163.21,0.94,70.08,0.006,106562000,167.56,165.9689525
7/8/2021,186.57,167.46,169.21,163.43,0.94,72.28,0.009,103612000,168.27,166.429162
7/9/2021,185.97,167.72,169.87,163.66,0.94,75.14,-0.003,74964000,168.93,166.9293296
7/12/2021,185.93,167.97,170.5,163.86,0.94,72.33,0,51432000,169.56,167.4554637
7/13/2021,183.87,168.18,171.02,164.04,0.94,66.79,-0.011,76918000,170.08,167.9803709
7/14/2021,184.08,168.47,171.54,164.26,0.82,74.94,0.001,65932000,170.72,168.5282968
7/15/2021,181.56,168.79,171.93,164.48,0.81,74.49,-0.014,63706000,171.12,169.0466374
7/16/2021,178.68,169.1,172.19,164.67,0.82,63.4,-0.016,80874000,171.37,169.5113099
7/19/2021,177.48,169.34,172.4,164.87,0.82,60.06,-0.007,75692000,171.58,169.9250479
7/20/2021,178.66,169.62,172.65,165.12,0.81,62.8,0.007,65114000,171.84,170.3080384
7/21/2021,179.26,170.02,172.91,165.37,0.8,64.51,0.003,46380000,172.11,170.6684307
7/22/2021,181.9,170.43,173.26,165.62,0.8,62.72,0.015,65308000,172.46,171.0267445
7/23/2021,182.83,170.93,173.63,165.9,0.81,47.3,0.005,48726000,172.82,171.3853956
7/26/2021,184.99,171.47,174.08,166.24,0.79,50.43,0.012,58002000,173.29,171.7663165
7/27/2021,181.32,171.88,174.36,166.57,0.8,37.32,-0.02,82638000,173.56,172.1250532
7/28/2021,181.52,172.24,174.64,166.88,0.8,39.04,0.001,59988000,173.84,172.4680426
7/29/2021,180,172.6,174.85,167.21,0.86,36.38,-0.008,110400000,173.99,172.7724341
7/30/2021,166.38,172.7,174.52,167.34,0.82,23.77,-0.076,199312000,173.7,172.9579472
8/2/2021,166.57,172.78,174.21,167.48,0.83,23.72,0.001,67078000,173.38,173.0423578
8/3/2021,168.31,172.95,173.98,167.6,0.83,29.64,0.01,83146000,173.15,173.0638862
8/4/2021,167.74,173.06,173.73,167.74,0.84,31.89,-0.003,43678000,172.89,173.029109
8/5/2021,168.8,173.17,173.54,167.88,0.83,35.58,0.006,48670000,172.71,172.9652872
8/6/2021,167.25,173.25,173.29,168.01,0.84,31.27,-0.009,52752000,172.45,172.8622298
8/9/2021,167.09,173.36,173.05,168.11,0.84,29.73,-0.001,42964000,172.21,172.7317838
8/10/2021,166.03,173.46,172.77,168.26,0.83,22.1,-0.006,48252000,171.94,172.573427
8/11/2021,164.61,173.54,172.45,168.37,0.85,18.5,-0.009,58944000,171.6,172.3787416
8/12/2021,165.18,173.6,172.17,168.46,0.84,13.76,0.003,46282000,171.33,172.1689933
8/13/2021,164.7,173.71,171.88,168.54,0.85,15.58,-0.003,41134000,171.03,171.9411946
8/16/2021,164.95,173.8,171.6,168.65,0.85,15.77,0.002,66394000,170.75,171.7029557
8/17/2021,162.1,173.85,171.23,168.75,0.84,14.95,-0.017,67758000,170.39,171.4403646
8/18/2021,160.06,173.79,170.79,168.82,0.84,27.36,-0.013,56086000,169.95,171.1422917
8/19/2021,159.39,173.69,170.35,168.88,0.84,25.1,-0.004,75658000,169.51,170.8158333
8/20/2021,160,173.54,169.94,168.95,0.84,18.75,0.004,67168000,169.1,170.4726667
8/23/2021,163.29,173.46,169.68,169.03,0.85,36.14,0.021,65362000,168.83,170.1441333
8/24/2021,165.29,173.38,169.51,169.11,0.86,39.65,0.012,51036000,168.65,169.8453067
8/25/2021,164.96,173.3,169.33,169.14,0.86,42.73,-0.002,33606000,168.47,169.5702453
8/26/2021,165.8,173.2,169.19,169.19,0.87,46.06,0.005,41976000,168.32,169.3201963
8/27/2021,167.48,173.06,169.12,169.22,0.86,54.25,0.01,48048000,168.26,169.108157
8/30/2021,171.08,173,169.2,169.29,0.87,66.85,0.021,63844000,168.33,168.9525256
8/31/2021,173.54,173.01,169.37,169.33,0.87,69.82,0.014,87128000,168.5,168.8620205
9/1/2021,173.95,172.99,169.55,169.38,0.88,71.99,0.002,72598000,168.67,168.8236164
9/2/2021,173.16,172.95,169.69,169.42,0.88,69.02,-0.005,58474000,168.81,168.8208931
9/3/2021,173.9,172.97,169.86,169.49,0.87,80.31,0.004,51514000,168.99,168.8547145
9/7/2021,175.46,173.08,170.08,169.55,0.87,90.54,0.009,54758000,169.21,168.9257716
9/8/2021,176.27,173.16,170.32,169.62,0.86,94.13,0.005,61068000,169.46,169.0326173
