date,close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,volume
9/23/2022,148.95,158.57,155.66,150.49,154.92,44.91,-0.015,96029900
9/26/2022,149.29,158.59,155.41,150.42,154.81,43.37,0.002,93339400
9/27/2022,150.27,158.68,155.21,150.35,154.72,46.51,0.007,84442700
9/28/2022,148.37,158.66,154.94,150.2,154.59,40,-0.013,146691400
9/29/2022,141.08,158.46,154.4,150.06,154.32,23.11,-0.049,128138200
9/30/2022,136.84,158.12,153.71,149.88,153.98,26.75,-0.03,124925300
10/3/2022,141.05,157.9,153.21,149.79,153.72,32.34,0.031,114311700
10/4/2022,144.67,157.77,152.88,149.71,153.54,41.56,0.026,87830100
10/5/2022,144.96,157.67,152.57,149.71,153.37,43.99,0.002,79471000
10/6/2022,144,157.45,152.23,149.74,153.19,36.27,-0.007,68402200
10/7/2022,138.72,157.11,151.7,149.67,152.9,26.57,-0.037,85925600
10/10/2022,139.04,156.68,151.2,149.62,152.63,29.86,0.002,74899000
10/11/2022,137.62,156.23,150.67,149.52,152.33,29.45,-0.01,77033700
10/12/2022,136.98,155.81,150.13,149.5,152.02,31,-0.005,70433700
10/13/2022,141.59,155.36,149.8,149.56,151.82,39.23,0.034,113224000
10/14/2022,137.02,154.82,149.3,149.57,151.52,33.17,-0.032,88598000
10/17/2022,141.01,154.36,148.97,149.56,151.32,41.12,0.029,85250900
10/18/2022,142.34,153.94,148.71,149.6,151.14,51.77,0.009,99136600
10/19/2022,142.45,153.53,148.47,149.63,150.97,58.94,0.001,61758300
10/20/2022,141.98,153.01,148.21,149.63,150.79,51.69,-0.003,64522000
10/21/2022,145.82,152.59,148.12,149.61,150.69,52.08,0.027,86548600
10/24/2022,147.98,152.15,148.11,149.62,150.64,55.09,0.015,75981900
10/25/2022,150.84,151.73,148.22,149.66,150.64,60.83,0.019,74732300
10/26/2022,147.88,151.26,148.21,149.64,150.59,65.66,-0.02,88194300
10/27/2022,143.38,150.68,148.02,149.64,150.44,56.48,-0.03,109180200
10/28/2022,154.21,150.31,148.26,149.73,150.52,69.36,0.076,164762400
10/31/2022,151.84,149.95,148.4,149.78,150.54,66.65,-0.015,97943200
11/1/2022,149.17,149.62,148.43,149.81,150.52,58.89,-0.018,80379300
11/2/2022,143.61,149.18,148.24,149.83,150.38,57.54,-0.037,93604600
11/3/2022,137.52,148.61,147.82,149.85,150.13,46.18,-0.042,97918500
11/4/2022,137.25,147.99,147.41,149.92,149.87,44.31,-0.004,140814800
11/7/2022,137.78,147.5,147.03,149.98,149.63,44.83,0.004,83374600
11/8/2022,138.36,147.07,146.69,150.03,149.41,46,0.004,89908500
11/9/2022,133.77,146.6,146.18,150.08,149.1,36.89,-0.033,74917800
11/10/2022,145.67,146.4,146.16,150.23,149.03,47.92,0.089,118854000
11/11/2022,148.48,146.24,146.25,150.37,149.02,47.87,0.019,93979700
11/14/2022,147.07,146.1,146.29,150.5,148.98,49.25,-0.009,73374100
11/15/2022,148.81,146.01,146.38,150.62,148.98,55.29,0.012,89868300
11/16/2022,147.57,145.88,146.43,150.7,148.95,42.05,-0.008,64218300
11/17/2022,149.49,145.81,146.55,150.79,148.96,47.16,0.013,80389400
11/18/2022,150.05,145.69,146.69,150.93,148.98,51.13,0.004,74829600
11/21/2022,146.8,145.39,146.69,151.02,148.94,54.33,-0.022,58724100
11/22/2022,148.95,145.32,146.78,151.16,148.94,67.35,0.015,51804100
11/23/2022,149.84,145.25,146.9,151.28,148.96,68.74,0.006,58301400
11/25/2022,146.9,145.17,146.9,151.35,148.92,62.67,-0.02,35195900
11/28/2022,143.04,145.04,146.75,151.37,148.8,55.96,-0.026,69246000
11/29/2022,140.02,144.78,146.49,151.32,148.63,58.29,-0.021,83763800
11/30/2022,146.82,144.61,146.5,151.33,148.59,51.77,0.049,111380900
12/1/2022,147.1,144.51,146.52,151.37,148.56,47.71,0.002,71250400
12/2/2022,146.6,144.42,146.53,151.4,148.52,49.2,-0.003,65447400
12/5/2022,145.43,144.35,146.48,151.41,148.46,44.08,-0.008,68826400
12/6/2022,141.74,144.2,146.3,151.36,148.33,40.6,-0.025,64727200
12/7/2022,139.79,143.99,146.04,151.28,148.16,34.39,-0.014,69721100
12/8/2022,141.48,143.85,145.86,151.24,148.03,36.69,0.012,62128300
12/9/2022,141,143.85,145.67,151.15,147.89,40.14,-0.003,76097000
12/12/2022,143.31,143.98,145.58,151.08,147.8,40.46,0.016,70462700
12/13/2022,144.28,144.04,145.53,150.98,147.73,40.64,0.007,93886200
12/14/2022,142.04,143.99,145.39,150.88,147.61,41.62,-0.016,82291200
12/15/2022,135.38,143.8,145,150.72,147.37,37.95,-0.047,98931900
12/16/2022,133.41,143.59,144.54,150.56,147.1,39.25,-0.015,160156900
12/19/2022,131.29,143.44,144.02,150.33,146.78,20.18,-0.016,79592600
12/20/2022,131.22,143.28,143.52,150.08,146.47,19.27,-0.001,77432800
12/21/2022,134.34,143.21,143.16,149.82,146.23,28.47,0.024,85928000
12/22/2022,131.15,143.1,142.69,149.54,145.94,26.58,-0.024,77852100
12/23/2022,130.78,142.88,142.22,149.27,145.64,29.83,-0.003,63814900
12/27/2022,128.97,142.72,141.7,148.92,145.31,29.98,-0.014,69007800
12/28/2022,125.01,142.4,141.05,148.53,144.9,21.88,-0.031,85438400
12/29/2022,128.55,142.12,140.56,148.19,144.58,30.76,0.028,75703700
12/30/2022,128.87,141.85,140.1,147.84,144.27,26.21,0.002,77034200
1/3/2023,124.05,141.49,139.47,147.46,143.87,20.42,-0.037,112117500
1/4/2023,125.33,141.08,138.92,147.04,143.5,24.86,0.01,89113600
1/5/2023,124,140.61,138.33,146.61,143.11,29.6,-0.011,80962700
1/6/2023,128.56,140.16,137.95,146.2,142.83,42.05,0.037,87754700
