Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
9/15/2022,12.929,16.55,16.19,16.98,17.61,19.22,-0.015,523625000
9/16/2022,13.198,16.49,16.07,16.92,17.52,25.07,0.021,670751000
9/19/2022,13.382,16.44,15.96,16.86,17.44,29.44,0.014,569685000
9/20/2022,13.176,16.41,15.86,16.81,17.35,30.44,-0.015,524818000
9/21/2022,13.261,16.37,15.75,16.74,17.27,41.18,0.006,807679000
9/22/2022,12.561,16.32,15.63,16.68,17.18,37.2,-0.053,759162000
9/23/2022,12.516,16.26,15.51,16.61,17.09,38.44,-0.004,663309000
9/26/2022,12.228,16.19,15.38,16.54,16.99,32.07,-0.023,547343000
9/27/2022,12.413,16.12,15.26,16.46,16.9,30.55,0.015,553854000
9/28/2022,12.736,16.03,15.16,16.4,16.82,29.25,0.026,542414000
9/29/2022,12.22,15.92,15.05,16.34,16.73,23.9,-0.041,532763000
9/30/2022,12.139,15.8,14.93,16.29,16.64,33.92,-0.007,565638000
10/3/2022,12.512,15.7,14.84,16.24,16.55,41.08,0.031,547478000
10/4/2022,13.167,15.63,14.77,16.2,16.49,53.04,0.052,584182000
10/5/2022,13.209,15.56,14.71,16.17,16.42,50.15,0.003,507131000
10/6/2022,13.13,15.47,14.65,16.13,16.36,46.48,-0.006,644157000
10/7/2022,12.076,15.35,14.55,16.08,16.27,37.57,-0.08,672478000
10/10/2022,11.67,15.22,14.44,16.01,16.18,33.24,-0.034,698699000
10/11/2022,11.586,15.08,14.32,15.96,16.09,38.2,-0.007,667482000
10/12/2022,11.5,14.94,14.21,15.9,16,37.82,-0.007,492590000
10/13/2022,11.96,14.8,14.12,15.85,15.92,46.92,0.04,850103000
10/14/2022,11.227,14.64,14.01,15.8,15.83,37.88,-0.061,713432000
10/17/2022,11.888,14.5,13.93,15.75,15.75,41.89,0.059,580774000
10/18/2022,11.967,14.38,13.85,15.7,15.67,47.36,0.007,659362000
10/19/2022,12.051,14.28,13.78,15.65,15.6,49.08,0.007,523131000
10/20/2022,12.194,14.17,13.72,15.58,15.53,46.52,0.012,652398000
10/21/2022,12.466,14.06,13.67,15.52,15.47,41.62,0.022,609494000
10/24/2022,12.599,13.93,13.63,15.46,15.42,42.86,0.011,517457000
10/25/2022,13.261,13.82,13.61,15.4,15.37,51.35,0.053,505482000
10/26/2022,12.896,13.7,13.58,15.34,15.33,59.84,-0.028,532953000
10/27/2022,13.176,13.6,13.57,15.28,15.28,68.63,0.022,583113000
10/28/2022,13.834,13.5,13.58,15.23,15.25,74.35,0.05,521040000
10/31/2022,13.497,13.41,13.58,15.18,15.22,70.52,-0.024,486341000
11/1/2022,13.543,13.34,13.57,15.14,15.19,67.77,0.003,432817000
11/2/2022,13.219,13.26,13.56,15.1,15.15,74.63,-0.024,672628000
11/3/2022,13.421,13.18,13.56,15.08,15.11,71.38,0.015,500065000
11/4/2022,14.156,13.11,13.58,15.06,15.09,75.81,0.055,612576000
11/7/2022,14.301,13.07,13.61,15.04,15.08,76.15,0.01,410061000
11/8/2022,14.602,13.05,13.65,15.03,15.07,77,0.021,595292000
11/9/2022,13.776,13.01,13.65,15.01,15.04,63.06,-0.057,454414000
11/10/2022,15.75,13.03,13.73,15,15.06,72.98,0.143,700819000
11/11/2022,16.327,13.07,13.84,15,15.08,72.64,0.037,655487000
11/14/2022,16.295,13.13,13.93,15,15.11,76.4,-0.002,527852000
11/15/2022,16.666,13.19,14.04,14.99,15.14,76.73,0.023,545876000
11/16/2022,15.91,13.23,14.11,14.98,15.15,65.67,-0.045,649547000
11/17/2022,15.677,13.27,14.17,14.98,15.16,66.71,-0.015,710894000
11/18/2022,15.409,13.29,14.22,14.98,15.17,63.83,-0.017,492072000
11/21/2022,15.317,13.31,14.26,14.98,15.17,66.11,-0.006,404739000
11/22/2022,16.038,13.36,14.33,15,15.19,68.61,0.047,472866000
11/23/2022,16.519,13.43,14.42,15.01,15.21,67.43,0.03,427241000
11/25/2022,16.27,13.5,14.49,15.02,15.24,64.31,-0.015,167934000
11/28/2022,15.827,13.55,14.54,15.02,15.25,58.72,-0.027,303741000
11/29/2022,15.639,13.6,14.59,15.02,15.25,64.59,-0.012,298384000
11/30/2022,16.923,13.67,14.68,15.04,15.29,60.3,0.082,565298000
12/1/2022,17.135,13.75,14.78,15.06,15.32,57.58,0.013,470977000
12/2/2022,16.876,13.83,14.86,15.08,15.36,55.23,-0.015,371389000
12/5/2022,16.61,13.92,14.93,15.09,15.38,49.49,-0.016,352255000
12/6/2022,15.987,13.99,14.97,15.09,15.39,50.72,-0.038,352694000
12/7/2022,16.12,14.07,15.01,15.09,15.41,54.24,0.008,372388000
12/8/2022,17.169,14.15,15.1,15.09,15.44,64.67,0.065,515456000
12/9/2022,17.001,14.25,15.17,15.08,15.47,63.86,-0.01,465338000
