Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume,MACD,Signal_Line
5/3/2016,44.39,47.56,47.34,47.29,46.83,22.91,-0.016,26460200,0.51,0.729930761
5/4/2016,44.47,47.54,47.23,47.25,46.78,21.39,0.002,24257600,0.45,0.673944609
5/5/2016,44.54,47.52,47.13,47.2,46.74,15.17,0.001,25390700,0.39,0.617155687
5/6/2016,44.94,47.49,47.04,47.17,46.7,19.2,0.009,24787300,0.34,0.56172455
5/9/2016,44.65,47.46,46.95,47.13,46.66,20.19,-0.006,17951600,0.29,0.50737964
5/10/2016,45.5,47.47,46.89,47.1,46.64,26.25,0.019,22891000,0.25,0.455903712
5/11/2016,45.53,47.44,46.84,47.06,46.62,43.97,0.001,24039100,0.22,0.408722969
5/12/2016,45.94,47.41,46.8,47.02,46.6,45.15,0.009,24102800,0.2,0.366978376
5/13/2016,45.55,47.39,46.75,47,46.58,46.97,-0.008,22592300,0.17,0.3275827
5/16/2016,46.22,47.39,46.73,46.98,46.57,57.19,0.015,20032000,0.16,0.29406616
5/17/2016,45.36,47.38,46.68,46.94,46.55,57.87,-0.025,27803500,0.13,0.261252928
5/18/2016,45.63,47.37,46.64,46.9,46.53,60.14,0.006,24907500,0.11,0.231002343
5/19/2016,45.19,47.34,46.58,46.86,46.51,50.5,-0.01,23842400,0.07,0.198801874
5/20/2016,45.46,47.32,46.54,46.82,46.48,60.63,0.006,23905800,0.06,0.171041499
5/23/2016,44.93,47.27,46.47,46.77,46.45,54.17,-0.012,26118700,0.02,0.140833199
5/24/2016,46.33,47.25,46.47,46.73,46.45,63.2,0.031,34757900,0.02,0.11666656
5/25/2016,46.8,47.23,46.48,46.71,46.46,63.6,0.01,24040200,0.02,0.097333248
5/26/2016,46.6,47.19,46.48,46.69,46.46,64.33,-0.004,24335200,0.02,0.081866598
5/27/2016,46.98,47.15,46.5,46.67,46.47,61.74,0.008,17721400,0.03,0.071493278
5/31/2016,47.6,47.15,46.55,46.67,46.49,64.97,0.013,37653100,0.06,0.069194623
6/1/2016,47.46,47.14,46.58,46.68,46.51,61.48,-0.003,25324800,0.07,0.069355698
6/2/2016,47.13,47.12,46.6,46.69,46.52,61.96,-0.007,22840800,0.08,0.071484559
6/3/2016,46.51,47.09,46.6,46.69,46.52,52.2,-0.013,23368300,0.08,0.073187647
6/6/2016,46.81,47.06,46.61,46.69,46.53,62.16,0.007,18243300,0.08,0.074550117
6/7/2016,46.79,47.04,46.62,46.7,46.54,60.09,-0.001,20866800,0.08,0.075640094
6/8/2016,46.73,47,46.62,46.7,46.54,64.43,-0.001,21149400,0.08,0.076512075
6/9/2016,46.36,46.94,46.61,46.71,46.54,58.22,-0.008,20305700,0.07,0.07520966
6/10/2016,46.23,46.88,46.6,46.73,46.53,62.88,-0.003,25833200,0.07,0.074167728
6/13/2016,45.03,46.79,46.53,46.73,46.5,36.6,-0.026,83217800,0.03,0.065334183
6/14/2016,44.75,46.7,46.46,46.73,46.47,27.94,-0.006,42577100,-0.01,0.050267346
6/15/2016,44.62,46.62,46.39,46.71,46.43,28.43,-0.003,33757600,-0.04,0.032213877
6/16/2016,45.25,46.54,46.35,46.71,46.41,32.03,0.014,31188600,-0.06,0.013771101
6/17/2016,45.02,46.47,46.29,46.69,46.38,21.01,-0.005,45710500,-0.09,-0.006983119
6/20/2016,44.96,46.4,46.24,46.69,46.35,21.4,-0.001,35607900,-0.11,-0.027586495
6/21/2016,45.97,46.35,46.23,46.69,46.34,38.5,0.022,34097800,-0.11,-0.044069196
6/22/2016,45.79,46.29,46.21,46.66,46.33,42.19,-0.004,28816800,-0.12,-0.059255357
6/23/2016,46.62,46.23,46.23,46.64,46.34,48.07,0.018,29028800,-0.11,-0.069404285
6/24/2016,44.75,46.14,46.17,46.62,46.31,35.35,-0.04,133503000,-0.14,-0.083523428
6/27/2016,43.49,46.02,46.07,46.59,46.25,30.14,-0.028,50216300,-0.18,-0.102818743
6/28/2016,44.4,45.9,46,46.58,46.21,38.74,0.021,38140700,-0.21,-0.124254994
6/29/2016,45.39,45.8,45.98,46.59,46.2,45.58,0.022,31304000,-0.22,-0.143403995
6/30/2016,45.95,45.73,45.98,46.61,46.19,55.19,0.012,28527800,-0.21,-0.156723196
7/1/2016,45.94,45.65,45.98,46.63,46.19,56.91,0,21400400,-0.21,-0.167378557
7/5/2016,45.95,45.65,45.97,46.65,46.18,57.79,0,24806400,-0.21,-0.175902846
7/6/2016,46.14,45.64,45.98,46.67,46.18,55.49,0.004,28167500,-0.2,-0.180722276
7/7/2016,46.14,45.65,45.99,46.69,46.18,57.14,0,19585200,-0.19,-0.182577821
7/8/2016,46.97,45.68,46.03,46.7,46.2,61.6,0.018,28391000,-0.17,-0.180062257
7/11/2016,47.23,45.73,46.07,46.7,46.22,57.97,0.006,22269200,-0.15,-0.174049806
7/12/2016,47.78,45.8,46.14,46.72,46.25,62.07,0.012,27317600,-0.11,-0.161239844
7/13/2016,48.05,45.86,46.21,46.74,46.28,59.32,0.006,25356800,-0.07,-0.142991876
7/14/2016,48.26,45.93,46.29,46.75,46.32,79.05,0.004,24545500,-0.03,-0.1203935
7/15/2016,48.22,46.01,46.37,46.77,46.36,99.07,-0.001,32024400,0.01,-0.0943148
7/18/2016,48.46,46.09,46.45,46.8,46.4,98.92,0.005,31433900,0.05,-0.06545184
7/19/2016,47.68,46.14,46.5,46.81,46.43,79.04,-0.016,53336500,0.07,-0.038361472
7/20/2016,50.21,46.25,46.65,46.86,46.5,86.02,0.053,89893300,0.15,-0.000689178
7/21/2016,50.11,46.35,46.78,46.91,46.57,84.73,-0.002,32776700,0.21,0.041448658
7/22/2016,50.8,46.45,46.94,46.94,46.66,86.29,0.014,32157200,0.28,0.089158926
7/25/2016,50.94,46.55,47.1,46.98,46.74,86.2,0.003,25610600,0.36,0.143327141
7/26/2016,50.97,46.66,47.25,47.02,46.83,86.25,0.001,28079000,0.42,0.198661713
7/27/2016,50.46,46.74,47.37,47.07,46.9,77.51,-0.01,32327500,0.47,0.25292937
7/28/2016,50.48,46.85,47.5,47.11,46.97,76.62,0,37550400,0.53,0.308343496
7/29/2016,50.9,46.95,47.63,47.16,47.05,76.09,0.008,30558700,0.58,0.362674797
8/1/2016,50.81,47.06,47.75,47.2,47.12,73.8,-0.002,26003400,0.63,0.416139838
8/2/2016,50.81,47.17,47.87,47.24,47.19,72.83,0,35122000,0.68,0.46891187
8/3/2016,51.16,47.3,48,47.28,47.27,74.89,0.007,22075600,0.73,0.521129496
