Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily Returns,Volume
9/15/2022,241.66,265.09,263.41,262.56,267.25,27.28,-0.027,31530900
9/16/2022,241.03,264.64,262.53,262.22,266.73,28.54,-0.003,39791800
9/19/2022,240.81,264.19,261.68,261.98,266.22,29.82,-0.001,26826900
9/20/2022,238.77,263.77,260.78,261.59,265.68,29.45,-0.008,26660300
9/21/2022,235.32,263.49,259.79,261.1,265.08,27.98,-0.014,28625600
9/22/2022,237.32,263.27,258.9,260.76,264.53,33.75,0.008,31061200
9/23/2022,234.31,262.96,257.94,260.31,263.93,33.57,-0.013,34176000
9/26/2022,233.85,262.59,257,259.89,263.33,25.59,-0.002,27694200
9/27/2022,232.82,262.25,256.05,259.37,262.73,24.22,-0.004,27018700
9/28/2022,237.41,261.9,255.32,259.03,262.23,21.89,0.02,29029700
9/29/2022,233.9,261.42,254.48,258.67,261.67,16.1,-0.015,27484200
9/30/2022,229.37,260.81,253.49,258.37,261.03,21.01,-0.019,35694800
10/3/2022,237.09,260.43,252.85,258.1,260.55,35.84,0.034,28880400
10/4/2022,245.1,260.25,252.54,258,260.25,54.18,0.034,34888400
10/5/2022,245.42,260.2,252.27,257.95,259.95,55.37,0.001,20347100
10/6/2022,243.04,259.78,251.9,257.82,259.62,52.6,-0.01,20239900
10/7/2022,230.69,258.96,251.07,257.56,259.05,42.42,-0.051,37769600
10/10/2022,225.77,257.96,250.08,257.2,258.39,41.29,-0.021,29743600
10/11/2022,221.99,256.94,248.98,256.92,257.67,36.46,-0.017,30474000
10/12/2022,222.32,255.98,247.93,256.66,256.97,38.89,0.002,21903900
10/13/2022,230.69,255.04,247.26,256.48,256.45,47.44,0.038,42551800
10/14/2022,225.09,253.97,246.39,256.17,255.82,44.18,-0.024,30198600
10/17/2022,233.93,253.09,245.9,255.96,255.39,47.53,0.039,28142300
10/18/2022,234.88,252.28,245.47,255.73,254.98,50.72,0.004,26329600
10/19/2022,232.89,251.38,244.97,255.45,254.55,52.69,-0.008,19985700
10/20/2022,232.57,250.35,244.49,255.09,254.11,46.11,-0.001,21811000
10/21/2022,238.45,249.48,244.25,254.8,253.8,44.06,0.025,26299700
10/24/2022,243.5,248.61,244.22,254.56,253.6,48.42,0.021,24911200
10/25/2022,246.86,247.78,244.32,254.33,253.46,53.09,0.014,34775500
10/26/2022,227.81,246.58,243.68,253.95,252.96,47.9,-0.077,82543200
10/27/2022,223.31,245.31,242.88,253.54,252.37,48.19,-0.02,40424600
10/28/2022,232.29,244.24,242.46,253.19,251.97,57.04,0.04,40647700
10/31/2022,228.61,243.18,241.92,252.82,251.51,54.1,-0.016,28357300
11/1/2022,224.71,242.2,241.24,252.46,250.98,45.85,-0.017,30592300
11/2/2022,216.76,241.09,240.28,252.14,250.3,44.4,-0.035,38407000
11/3/2022,211,239.88,239.14,251.87,249.52,33.94,-0.027,36633900
11/4/2022,218.03,238.75,238.31,251.65,248.9,39.12,0.033,36789100
11/7/2022,224.41,237.96,237.76,251.42,248.41,44.82,0.029,33498000
11/8/2022,225.4,237.24,237.28,251.27,247.96,45.66,0.004,28192500
11/9/2022,221.1,236.48,236.64,251.04,247.43,39.28,-0.019,27852900
11/10/2022,239.29,236.12,236.75,250.94,247.27,47.76,0.082,46268000
11/11/2022,243.36,235.86,237.01,250.89,247.19,48.16,0.017,34620200
