Date,Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
2/28/2023,205.71,158.56,179.62,179.16,188.95,52.45,-0.009,153144900
3/1/2023,202.77,159.46,180.53,178.78,189.22,47.39,-0.014,156852800
3/2/2023,190.9,160.28,180.94,178.31,189.26,46.62,-0.059,181500700
3/3/2023,197.79,161.24,181.6,178.06,189.43,51.69,0.036,154193300
3/6/2023,193.81,162.36,182.08,177.77,189.51,40.66,-0.02,128100100
3/7/2023,187.71,163.36,182.3,177.48,189.48,34.16,-0.031,148125800
3/8/2023,182,164.49,182.29,177.13,189.33,37.03,-0.03,151897800
3/9/2023,172.92,165.49,181.92,176.64,189,27.9,-0.05,170023800
3/10/2023,173.44,166.77,181.59,176.32,188.7,32.82,0.003,191488900
3/13/2023,174.48,168.01,181.31,175.87,188.41,30.37,0.006,167790300
3/14/2023,183.26,169.24,181.39,175.51,188.31,37.42,0.05,143717900
3/15/2023,180.45,170.38,181.35,175.09,188.16,38.65,-0.015,145995600
3/16/2023,184.13,171.9,181.46,174.86,188.08,32.01,0.02,121136800
3/17/2023,180.13,173.23,181.41,174.51,187.92,31.02,-0.022,133197100
3/20/2023,183.25,174.69,181.48,174.23,187.83,35.56,0.017,129684400
3/21/2023,197.58,176.38,182.11,173.99,188.02,54.77,0.078,153391400
3/22/2023,191.15,177.81,182.46,173.65,188.08,45.23,-0.033,150376400
3/23/2023,192.22,179.28,182.85,173.32,188.16,48.81,0.006,144193900
3/24/2023,190.41,180.62,183.14,172.94,188.21,52.16,-0.009,116312400
3/27/2023,191.81,181.99,183.48,172.58,188.28,58.45,0.007,120851600
3/28/2023,189.19,183.32,183.71,172.2,188.3,65.76,-0.014,98654600
3/29/2023,193.88,184.57,184.11,171.99,188.41,68.32,0.025,123660000
3/30/2023,195.28,185.9,184.54,171.79,188.54,68.53,0.007,110252200
3/31/2023,207.46,187.51,185.44,171.79,188.92,70.32,0.062,170222100
4/3/2023,194.77,188.73,185.81,171.76,189.03,60.31,-0.061,169545900
4/4/2023,192.58,189.71,186.07,171.78,189.1,56.22,-0.011,126463800
4/5/2023,185.52,190.54,186.05,171.86,189.03,53.8,-0.037,133882500
4/6/2023,185.06,191.35,186.01,171.8,188.96,51.32,-0.002,123857900
4/10/2023,184.51,191.84,185.95,171.68,188.87,38.02,-0.003,142154600
4/11/2023,186.79,192.02,185.99,171.64,188.83,45.67,0.012,115770900
4/12/2023,180.54,192.29,185.77,171.5,188.66,39.49,-0.033,150256300
4/13/2023,185.9,192.55,185.78,171.49,188.61,46.19,0.03,112933000
4/14/2023,185,192.62,185.75,171.51,188.54,44.19,-0.005,96438700
4/17/2023,187.04,192.6,185.8,171.58,188.51,48.15,0.011,116662200
4/18/2023,184.31,192.48,185.74,171.74,188.42,41.47,-0.015,92067000
4/19/2023,180.59,192.2,185.54,171.85,188.27,37.43,-0.02,125732700
4/20/2023,162.99,191.52,184.65,171.65,187.77,15.17,-0.097,210970800
4/21/2023,165.08,190.8,183.89,171.47,187.32,22.11,0.013,123539000
4/24/2023,162.55,189.9,183.05,171.27,186.83,21.97,-0.015,140006600
4/25/2023,160.67,189.18,182.17,171.07,186.31,24.32,-0.012,121999300
4/26/2023,153.75,188.36,181.06,170.66,185.66,21.46,-0.043,153364100
4/27/2023,160.19,187.38,180.24,170.31,185.16,29.98,0.042,127015200
4/28/2023,164.31,186.38,179.61,170.01,184.75,32.04,0.026,122515800
5/1/2023,161.83,185.58,178.92,169.8,184.29,34.09,-0.015,109015000
5/2/2023,160.31,184.62,178.19,169.61,183.82,26.72,-0.009,128259700
5/3/2023,160.61,183.88,177.5,169.47,183.36,27.57,0.002,119728000
5/4/2023,161.2,183.09,176.86,169.35,182.92,25.59,0.004,95108500
5/5/2023,170.06,182.45,176.59,169.26,182.67,37.93,0.055,107440900
5/8/2023,171.79,181.95,176.4,169.3,182.45,42.29,0.01,112249400
5/9/2023,169.15,181.18,176.12,169.38,182.19,57.32,-0.015,88965000
5/10/2023,168.54,180.43,175.82,169.5,181.92,54.26,-0.004,119840700
5/11/2023,172.08,179.82,175.68,169.64,181.72,61.45,0.021,103889900
5/12/2023,167.98,179.36,175.37,169.82,181.45,58.34,-0.024,157577100
5/15/2023,166.35,178.73,175.02,169.98,181.15,66.34,-0.01,105592500
5/16/2023,166.52,178.19,174.69,170.27,180.86,59.8,0.001,98288800
5/17/2023,173.86,177.91,174.65,170.63,180.72,63.45,0.044,125473600
5/18/2023,176.89,177.81,174.74,171.15,180.65,70.88,0.017,109520300
5/19/2023,180.14,177.95,174.95,171.72,180.64,76.24,0.018,136024200
5/22/2023,188.87,178.26,175.5,172.52,180.8,80.57,0.048,132001400
5/23/2023,185.77,178.49,175.9,173.25,180.9,75.21,-0.016,156952100
5/24/2023,182.9,178.48,176.18,173.86,180.94,65.02,-0.015,137605100
5/25/2023,184.47,178.56,176.5,174.47,181.01,64.89,0.009,96870700
5/26/2023,193.17,178.74,177.16,175.32,181.25,74.69,0.047,162061500
5/30/2023,201.16,179.16,178.1,176.2,181.64,79.11,0.041,128818700
5/31/2023,203.93,179.57,179.11,177.13,182.08,78.82,0.014,150711700
6/1/2023,207.52,179.77,180.22,178.08,182.59,86.12,0.018,148029900
6/2/2023,213.97,180.23,181.55,179.02,183.21,89.98,0.031,164129000
6/5/2023,217.61,180.74,182.96,180.01,183.89,90.53,0.017,151143100
6/6/2023,221.31,181.36,184.47,180.99,184.63,89.95,0.017,146911600
6/7/2023,224.57,182.01,186.04,182,185.42,89.99,0.015,185710800
6/8/2023,234.86,182.92,187.95,183.12,186.4,91.04,0.046,164489700
6/9/2023,244.4,183.93,190.17,184.25,187.55,91.15,0.041,199882300
6/12/2023,249.83,185.03,192.51,185.46,188.78,95.89,0.022,150337900
6/13/2023,258.71,186.05,195.1,186.78,190.17,100,0.036,162384300
6/14/2023,256.79,187.29,197.52,188.01,191.49,97.48,-0.007,170575500
6/15/2023,255.9,188.56,199.81,189.13,192.76,95.89,-0.003,160171200
6/16/2023,260.54,190.06,202.19,190.3,194.1,95.68,0.018,167563700
6/20/2023,274.45,191.85,205.03,191.6,195.7,96.31,0.053,165611200
6/21/2023,259.46,193.34,207.16,192.59,196.96,79.67,-0.055,211797100
6/22/2023,264.61,194.9,209.41,193.46,198.3,79.36,0.02,166875900
6/23/2023,256.6,196.42,211.26,194.36,199.45,71.52,-0.03,176584100
6/26/2023,241.05,197.52,212.43,195.04,200.28,59.63,-0.061,179990600
6/27/2023,250.21,198.83,213.91,195.72,201.26,61.83,0.038,164968200
6/28/2023,256.24,200.21,215.57,196.4,202.35,60.27,0.024,159770800
6/29/2023,257.5,201.68,217.22,197.08,203.45,56.84,0.005,131283400
6/30/2023,261.77,203.3,218.96,197.75,204.6,56.31,0.017,112267600
7/3/2023,279.82,205.64,221.35,198.58,206.09,60.17,0.069,119685900
