Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
12/21/2022,341.38,322.03,330.33,341.96,342.85,49.91,0.009,2583000
12/22/2022,336.52,323.03,330.58,341.23,342.72,51.56,-0.014,2319300
12/23/2022,338.45,323.91,330.89,340.37,342.64,54.75,0.006,1629800
12/27/2022,335.09,324.85,331.05,339.41,342.49,55.55,-0.01,1464300
12/28/2022,328.33,325.55,330.94,338.36,342.21,47.23,-0.02,1672100
12/29/2022,337.58,326.44,331.2,337.39,342.12,54.13,0.028,1793100
12/30/2022,336.53,327.17,331.41,336.49,342,48.94,-0.003,1740900
1/3/2023,336.92,327.86,331.63,335.48,341.9,46.24,0.001,2229100
1/4/2023,341.41,328.56,332.01,334.54,341.89,50.99,0.013,2186800
1/5/2023,328.44,328.81,331.87,333.37,341.63,49.83,-0.038,2081600
1/6/2023,332.75,328.99,331.91,332.19,341.45,45.97,0.013,2216600
1/9/2023,341.98,329.42,332.3,331.13,341.46,59.28,0.028,3133800
1/10/2023,338.7,329.82,332.55,330.14,341.41,50.37,-0.01,1670200
1/11/2023,342.93,330.16,332.96,329.18,341.44,51.17,0.012,2344400
1/12/2023,344.54,330.69,333.41,328.37,341.5,56.38,0.005,2121800
1/13/2023,344.38,331.25,333.84,327.7,341.56,54.85,0,2581900
1/17/2023,344.38,332.12,334.26,327.04,341.61,58.05,0,2512700
1/18/2023,341.31,333.22,334.53,326.4,341.61,62.01,-0.009,2079800
1/19/2023,342.53,334.36,334.85,325.79,341.62,55.38,0.004,2467000
1/20/2023,356.38,335.5,335.69,325.54,341.92,66.88,0.04,3149400
1/23/2023,364.98,336.75,336.84,325.44,342.37,70.93,0.024,3187100
1/24/2023,361.32,338,337.8,325.3,342.75,65.04,-0.01,2466400
1/25/2023,358.17,338.57,338.6,325.15,343.05,76.37,-0.009,2239100
1/26/2023,365.82,339.06,339.67,325.1,343.5,77.69,0.021,2350500
1/27/2023,370.71,339.67,340.88,325.13,344.04,75.94,0.013,2615600
1/30/2023,363.42,340.01,341.77,325.08,344.43,70.82,-0.02,2663600
1/31/2023,370.34,340.65,342.89,324.98,344.94,72.08,0.019,2572400
2/1/2023,383.92,341.58,344.5,324.99,345.71,76.59,0.037,3362000
2/2/2023,392.23,342.8,346.37,324.96,346.63,79.11,0.022,4020000
2/3/2023,379.33,343.96,347.66,324.79,347.28,68.38,-0.033,2695400
2/6/2023,375.23,344.85,348.74,324.86,347.83,67.64,-0.011,2369600
2/7/2023,383.82,345.81,350.12,324.98,348.55,69.95,0.023,2476200
2/8/2023,378.36,346.69,351.23,325.67,349.14,61.56,-0.014,2668100
2/9/2023,375.81,347.63,352.19,326.44,349.67,56.08,-0.007,2265200
2/10/2023,370.99,348.51,352.93,327.19,350.09,55.36,-0.013,1846300
2/13/2023,375,349.11,353.79,328.03,350.58,59.24,0.011,1877300
2/14/2023,377.9,349.79,354.74,328.94,351.12,57,0.008,2479700
2/15/2023,375.94,350.47,355.57,329.83,351.61,53.14,-0.005,2088200
2/16/2023,365.16,351.1,355.95,330.64,351.88,51,-0.029,2917000
2/17/2023,356.85,351.61,355.98,331.44,351.98,42.36,-0.023,2985700
2/21/2023,346.7,352.01,355.62,332.13,351.88,28.06,-0.028,3002700
2/22/2023,348.72,352.33,355.35,332.8,351.81,22.3,0.006,2599300
2/23/2023,347.02,352.66,355.02,333.49,351.72,26.01,-0.005,3154500
2/24/2023,320.54,352.31,353.67,333.94,351.1,19.53,-0.076,8444500
2/27/2023,322.32,351.91,352.44,334.31,350.53,12.92,0.006,3500600
2/28/2023,323.95,351.59,351.32,334.6,350,15.6,0.005,2714200
3/1/2023,323.38,351.48,350.23,334.86,349.48,16,-0.002,2377700
3/2/2023,333.5,351.38,349.57,335.21,349.16,27.25,0.031,3845800
3/3/2023,344.04,351.68,349.35,335.76,349.06,32.6,0.032,3725500
3/6/2023,347.02,351.86,349.26,336.38,349.02,32.66,0.009,3060300
3/7/2023,344.8,351.93,349.09,336.98,348.94,32.56,-0.006,2252800
3/8/2023,345.84,352.12,348.96,337.57,348.87,37.86,0.003,2518900
3/9/2023,338.37,352.11,348.54,338.01,348.67,38.26,-0.022,3798300
3/10/2023,329.3,352,347.79,338.42,348.28,38.79,-0.027,4148200
3/13/2023,324.27,351.92,346.87,338.73,347.81,34.84,-0.015,4203500
3/14/2023,333.33,351.83,346.34,339.14,347.52,42.22,0.028,3850900
3/15/2023,333.61,351.77,345.84,339.47,347.25,60.58,0.001,4627100
3/16/2023,353.29,352.1,346.13,339.98,347.36,69.43,0.059,6946600
3/17/2023,358.14,352.44,346.6,340.5,347.58,70.62,0.014,6725400
3/20/2023,362.88,353.12,347.24,340.97,347.88,72.68,0.013,3946800
3/21/2023,374.22,353.95,348.3,341.47,348.4,73.06,0.031,4479200
3/22/2023,361.71,354.35,348.82,341.88,348.67,59.79,-0.033,3878400
3/23/2023,369,354.95,349.61,342.39,349.07,61.62,0.02,3138600
3/24/2023,374.96,355.59,350.61,342.88,349.58,65.34,0.016,2993400
3/27/2023,373.15,356.17,351.49,343.43,350.05,63.78,-0.005,2832200
3/28/2023,373.4,356.75,352.35,344,350.51,69.06,0.001,1780800
3/29/2023,379.16,357.44,353.4,344.78,351.08,78.15,0.015,2497600
3/30/2023,381.9,358.25,354.52,345.74,351.69,83.4,0.007,2139000
3/31/2023,385.37,359.11,355.73,346.74,352.36,82.25,0.009,3063400
4/3/2023,380.08,359.59,356.68,347.54,352.9,77.12,-0.014,2712600
4/4/2023,385.15,359.99,357.8,348.37,353.54,72.41,0.013,2569800
4/5/2023,382.02,360.4,358.75,349.2,354.11,67.21,-0.008,2277200
4/6/2023,380.6,360.85,359.61,349.71,354.63,63.42,-0.004,1835900
4/10/2023,376.25,361.06,360.26,350.06,355.06,51.72,-0.011,1689700
4/11/2023,371.11,361.07,360.69,350.37,355.38,59.09,-0.014,2161100
4/12/2023,369.89,361.2,361.05,350.61,355.66,50.98,-0.003,1978200
4/13/2023,378.8,361.37,361.74,351.01,356.12,53.95,0.024,2434800
4/14/2023,379.38,361.28,362.43,351.43,356.58,56.58,0.002,1525500
4/17/2023,377.92,360.99,363.04,351.9,357.01,54.66,-0.004,1614300
4/18/2023,377.55,360.95,363.61,352.46,357.41,48.13,-0.001,1586700
4/19/2023,380.11,361.05,364.26,352.95,357.86,47.92,0.007,1775200
4/20/2023,380.26,360.98,364.89,353.39,358.31,43.56,0,1947900
4/21/2023,377.67,360.97,365.39,353.83,358.69,46.74,-0.007,1841600
4/24/2023,377.34,361,365.86,354.31,359.06,37.88,-0.001,1531100
4/25/2023,369.59,360.97,366,354.74,359.27,33.13,-0.021,2413100
4/26/2023,363.06,360.73,365.89,354.92,359.34,29.09,-0.018,2803200
4/27/2023,371.42,360.6,366.1,355.19,359.58,44.74,0.023,2338800
4/28/2023,377.56,360.63,366.55,355.55,359.94,56.87,0.017,2061200
5/1/2023,374.15,360.81,366.85,355.95,360.22,54.33,-0.009,1868000
5/2/2023,368.66,361.05,366.92,356.33,360.39,38.91,-0.015,2287600
5/3/2023,345.25,361.02,366.07,356.52,360.09,25.11,-0.064,6700800
5/4/2023,335.83,360.76,364.89,356.55,359.61,22.49,-0.027,6614900
5/5/2023,348.4,360.79,364.24,356.73,359.38,33.57,0.037,4260100
5/8/2023,344.06,361.26,363.45,356.78,359.08,30.08,-0.012,3135900
5/9/2023,342.65,361.67,362.63,356.79,358.76,29.5,-0.004,1879400
5/10/2023,344.02,362.07,361.9,356.83,358.46,31.41,0.004,3386300
5/11/2023,341.58,362.43,361.11,356.96,358.13,30.7,-0.007,2183400
5/12/2023,335.45,362.47,360.1,356.93,357.68,31.25,-0.018,4278400
5/15/2023,345.67,362.5,359.53,357.09,357.44,40.82,0.03,3330500
