Date,Adj Close,Simple Moving Average_50,Exponential Moving Average_50,Simple Moving Average_100,Exponential Moving Average_100,Relative Strength Index 14,Daily_Return,Volume
6/9/2022,426.42,418.71,423.68,445.65,452.43,63,-0.006,2572400
6/10/2022,393.84,417.39,422.51,444.46,451.27,45.03,-0.076,4406100
6/13/2022,371.65,415.71,420.52,443.01,449.69,40.7,-0.056,4724800
6/14/2022,370.82,413.96,418.57,441.61,448.13,38.74,-0.002,3197200
6/15/2022,376.92,412.12,416.93,440.38,446.72,38.74,0.016,3664500
6/16/2022,365.08,410.25,414.9,438.83,445.1,26.24,-0.031,5775300
6/17/2022,360.79,408.58,412.78,437.41,443.44,27.8,-0.012,9475100
6/21/2022,362.99,406.79,410.83,436.03,441.84,28.09,0.006,5343500
6/22/2022,365.33,405.19,409.04,434.76,440.33,13.88,0.006,3168200
6/23/2022,376.64,404.03,407.77,433.34,439.07,24.69,0.031,2534300
6/24/2022,387.72,403.25,406.99,431.87,438.05,31.97,0.029,3305300
6/27/2022,381.07,402.24,405.97,430.33,436.92,27.89,-0.017,2244600
6/28/2022,365.63,401.14,404.39,428.65,435.51,25.55,-0.041,2654500
6/29/2022,368.5,400,402.98,427.23,434.18,27.67,0.008,2027900
6/30/2022,366.06,398.6,401.53,425.75,432.83,36.05,-0.007,2595500
7/1/2022,368.48,397.4,400.24,424.37,431.56,48.01,0.007,2471600
7/5/2022,376.49,396.59,399.3,423.02,430.47,53.26,0.022,3120500
7/6/2022,382.83,396.07,398.66,421.63,429.53,53.39,0.017,2284600
7/7/2022,390.89,395.61,398.35,420.59,428.76,65.46,0.021,2368500
7/8/2022,389.44,395.41,398,419.74,427.98,67.77,-0.004,1611200
7/11/2022,384.16,395.14,397.46,418.84,427.11,62.65,-0.014,1832200
7/12/2022,375.54,394.44,396.6,417.8,426.09,55.67,-0.022,2639600
7/13/2022,371.94,393.96,395.63,416.75,425.02,47.14,-0.01,1994000
7/14/2022,372.96,393.27,394.75,415.9,423.99,39.78,0.003,2098400
7/15/2022,379.86,392.72,394.16,415.27,423.12,49.16,0.019,2488300
7/18/2022,375.23,391.76,393.42,414.64,422.17,57.79,-0.012,1866400
7/19/2022,387.83,391.5,393.2,414.22,421.49,63.54,0.034,1977600
7/20/2022,401.49,391.71,393.53,413.6,421.09,71.45,0.035,2746800
7/21/2022,408.91,392.35,394.13,413.03,420.85,73.08,0.018,2009900
7/22/2022,401.9,392.53,394.43,412.38,420.47,64.67,-0.017,2413200
7/25/2022,391.96,392.78,394.34,411.63,419.91,55.06,-0.025,2340500
7/26/2022,379.26,392.6,393.75,410.71,419.11,43.87,-0.032,2368500
7/27/2022,392.78,392.34,393.71,410.05,418.58,51.56,0.036,2678000
7/28/2022,403.5,392.36,394.09,409.56,418.29,58.61,0.027,2421700
7/29/2022,410.12,392.37,394.72,409.28,418.12,65.67,0.016,2669800
8/1/2022,411.09,392.63,395.36,409.08,417.98,68.17,0.002,1910000
8/2/2022,409.96,392.94,395.93,408.67,417.83,67.16,-0.003,2165500
8/3/2022,424.54,393.45,397.06,408.53,417.96,69.34,0.036,2403500
8/4/2022,430.59,393.93,398.37,408.67,418.21,73.67,0.014,2745600
8/5/2022,433.43,394.63,399.75,408.89,418.51,71.28,0.007,2481400
8/8/2022,434.34,395.26,401.1,409.01,418.82,67.4,0.002,2202000
8/9/2022,426.57,395.62,402.1,408.86,418.98,59.32,-0.018,1977300
8/10/2022,438.4,395.83,403.52,408.8,419.36,68.33,0.028,2634400
8/11/2022,434.89,396.2,404.75,408.61,419.67,73.04,-0.008,1756600
8/12/2022,445.67,396.75,406.36,408.53,420.18,86.4,0.025,2150400
8/15/2022,451.02,396.94,408.11,408.38,420.79,85.06,0.012,2503400
8/16/2022,447.56,397.3,409.66,408.62,421.32,79.06,-0.008,2139500
8/17/2022,437.82,397.46,410.76,408.68,421.65,67.55,-0.022,1894400
8/18/2022,439.03,397.58,411.87,408.76,422,67.65,0.003,1402300
8/19/2022,425.06,397.5,412.39,408.51,422.06,58.21,-0.032,2007700
8/22/2022,411.35,397.2,412.35,407.96,421.84,42.76,-0.032,2074600
8/23/2022,410.41,397.53,412.27,407.46,421.62,38.27,-0.002,1392200
8/24/2022,405.65,398.21,412.01,406.96,421.3,34.21,-0.012,1883900
8/25/2022,403.93,398.87,411.69,406.42,420.96,32.87,-0.004,3062400
8/26/2022,381.02,398.95,410.49,405.54,420.17,28.08,-0.057,3600100
8/29/2022,375.26,399.16,409.11,404.71,419.28,17.73,-0.015,2410300
8/30/2022,375.07,399.44,407.78,404.01,418.4,18.35,-0.001,1835000
8/31/2022,373.44,399.65,406.43,403.22,417.51,7.69,-0.004,3193900
9/1/2022,370.53,399.76,405.02,402.47,416.58,1.46,-0.008,2574400
9/2/2022,368.14,399.59,403.57,401.81,415.62,1.48,-0.006,2450500
9/6/2022,368.3,399.2,402.19,401.22,414.68,1.9,0,2564400
9/7/2022,379.72,399.17,401.31,400.71,413.99,14.04,0.031,2385500
9/8/2022,383.63,399.53,400.62,400.34,413.39,21.39,0.01,2276800
9/9/2022,394.78,400.06,400.39,400.03,413.02,38.14,0.029,2998900
9/12/2022,396.36,400.66,400.23,399.63,412.69,40.03,0.004,2854800
9/13/2022,368.39,400.66,398.98,399.03,411.82,30.12,-0.071,4175100
9/14/2022,371.52,400.56,397.9,398.57,411.02,32.96,0.008,3004400
9/15/2022,309.13,399.09,394.42,397.58,409,23.29,-0.168,27840200
